Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
A Child's RightNepal (ACR- Nepal),Drinkingwater and hygiene project at 47 school.,"Kathmandu,Lalitpur & Bhaktapur.","Splash, USA,email: splash@splash.or g.","19,487,785.80","1,410,000.00",Drinkingwater
A GenuineEffort Group Nepal,Socialeducation program.,Kathmandu& Lalitpur.,"a.Robert Joseph,Ireland b. Leo Jose Wyss, Switzerlan c. Atco Frontec Europ, Switzerland d. Tjherese Roeser, Switzerland e. Robert Joseph, Switzerland f. Elisabeth dahler, Switzerland.","1,250,309.18",,Child/Health/Education
A N A - Nepal,ANA rural nepal development.,Sunsari,"The Associationof Nepalis inAmericas, USA.","3,264,000.00",,Community development
AananditCharity Centre,Intergrated program for holistic development of underprivileg ed children.,Lalitpur,"a. IchthusChristian Fellowship, London, admin@ichthus.o rg.uk, www.ichthus.org. uk.b. WakePublic Welfare Action Association, Taiwan, wake@wake.org.t w, www.waker.org.tw c. Birkdale school, www.birkdalesch ool.org.uk","3,596,400.00","101,972.00",Child
AapasiSahayog Kendra Syangja Nepal (ASK-Nepal),A voluntarydevelopment aid to village in Nepal.,"Syangjya,Kavrepalanc howk",TRIANGLEDenmark.,"4,047,655.00",,Governance/democracy/ education/health
Aarohan,Votereducation throughstreet drama.,All Nepal.,"UNDP,Kathmandu.","17,233,000.00",,electoral
Action WorksNepal (AWON),Nationalmedia reporting on education.,all Nepal,"UNDP, Pulchowk.","3,162,064.00",,Journal
Action worksNepal,"Increaseaccess to safe abortion and family planning for 5,730 women in remote, uncovered and underserved areas in the Karnali Region of Nepal.",Jumla,"Safe AbortionAction Fund, UK.","15,821,894.00",,Women/Health/ Education
AdharbhutGramin Bikas Sewa (AGBS),Program forpromotion of self-help initiatives (samunnati) in the rural areas of Kapilvastu.,Kapilvastu,Oxfam HongKong.,"3,625,100.00","1,350,000.00",Community development
AdvocacyForum - Nepal,Includingvoices of survivors of conflict in the transitional justice process.,"Baglung,Surkhet, Rupandehi, Kapilvastu, Banke, Bardiya, Kaski, Kanchanpur.","KURVE Wustrow -Center for Training and Networking in Nonviolent Action, Germany.","5,243,414.00",,Conflictvictims
Agroforestry,Do good now.,Kathmandu& Morang,"Do Good Now,Sweden.","1,678,000.00",,Women/Child
Agroforestry,Reproductivehealth diagnosis and uterine prolapse treatment program.,Ramechhap,"Nari Nikunja,Australia.","1,100,000.00",,Women/Health
Agrororestry,Kids in Needof Education(KINOE),Kathmandu& Morang.,"Kids in Need ofEducation (KINOE), England.","633,105.00",,Child/Education
AhmadiyyaSangh Nepal,Educationand help for change.,"Parsa,Sunsari & Morang.","AhamdiyyaMuslim Jamaat(AMJ), London.","12,106,600.00","1,723,000.00",Education/Health
Aids LinkNepal,"ConductingHIV/AIDS awareness, child sponsorship and counseling.",Lalitpur,"Aids Link , SouthAfrica.","2,754,000.00","36,000.00",Religion/Community development
AkashaAcademy,Landpurchase.,Kathmandu,Long yange.v.Germany.,"34,088,000.00",,Religion
All AngelsNepal (AAN),Sewingtraining project.,Lalitpur,"Project Nepal,Holland.","211,570.00","349,000.00",Women
All AngelsNepal (AAN),Cattledistribution project.,Chitwan,"Project Nepal,Holland.","55,860.00",,Women
All AngelsNepal (AAN),Orphanagesupport program.,Chitwan,"Project Nepal,Holland.","148,960.00",,Women
All AngelsNepal (AAN),Educationsupport program.,Chitwan,"Project Nepal,Holland.","27,930.00",,Women
All AngelsNepal (AAN),Medicalsupport program.,Chitwan,"Project Nepal,Holland.","49,875.00",,Women
All AngelsNepal (AAN),Constructionof extra- classroom for governmental school.,Chitwan,"Project Nepal,Holland.","399,000.00",,Women
AllianceAgainst Trafficking in Women and Children in Nepal (AATWIN),ActionResearch on emerging nexus between traffickingand migration in Nepal: Situation and strategies.,"Kaski,Dolakha, Morang, Achham & Bardiya.","Global Fund forWomen, USA.","2,418,695.00",,Women/Child
AllianceAgainst Trafficking in Women and Children in Nepal,Countrystrategy study: modern slavery landscape in Nepal 2014.,Kathmandu,"Hope forChildren, australia.","1,371,459.30",,Women/Child
