Year,District,Region,Sector,NGOs Name
2049,Kathmandu,Central Region,AIDs and Abuse Control,Adiction Relief Society
2049,Kathmandu,Central Region,AIDs and Abuse Control,Aids Birudda Yuwa Sangh Nepal
2051,Kathmandu,Central Region,AIDs and Abuse Control,"Aids Birudha Swastha Karmi
Nepal"
2058,Kathmandu,Central Region,AIDs and Abuse Control,Aids Birudhh Bil Gaits
2061,Kathmandu,Central Region,AIDs and Abuse Control,"Aids Birudhh Rastriya Network
Samuh Nepal"
2049,Chitawan,Central Region,AIDs and Abuse Control,Aids Club
2062,Kathmandu,Central Region,AIDs and Abuse Control,Aids Ekikrit Nepal
2061,Morang,Eastern Region,AIDs and Abuse Control,"Aids Hop Tatha Batabarana
Sanrakshyana Samaj Nepal"
2054,Kathmandu,Central Region,AIDs and Abuse Control,"Aids Janachetana Tatha Swasth
Sewa Kendra"
2053,Kathmandu,Central Region,AIDs and Abuse Control,"Aids Lagu Padartha Ra Samajik
Bikriti Biruda Manch"
2060,Kathmandu,Central Region,AIDs and Abuse Control,"Aids Pararmash Tatha
Janajagaran Karyakram"
2063,Kathmandu,Central Region,AIDs and Abuse Control,"AIDS Pramarsa tatha Jagaran
Karyakram"
2059,Kaski,Western Region,AIDs and Abuse Control,Aids Rog Niyantrana Sangh
2049,Kathmandu,Central Region,AIDs and Abuse Control,Aids Roktham Ra Shiksha Samaj
,Kathmandu,Central Region,AIDs and Abuse Control,Aids Sachetak Samuh
2063,Kathmandu,Central Region,AIDs and Abuse Control,"AIDS tatha Saruwa Rog Birudha
Sachet Sathiharuko Sangathan
Nepal"
2053,Kathmandu,Central Region,AIDs and Abuse Control,"Antararastriya Aids Control And
Privation Anusandhan Kendr"
2055,Kathmandu,Central Region,AIDs and Abuse Control,Anti Drug Society Nepal
2065,Kathmandu,Central Region,AIDs and Abuse Control,Anti Drugs Society Of Nepal
2061,Bara,Central Region,AIDs and Abuse Control,"Bahira Tatha Sust Shrawana
Utthan Samaj"
2055,Kathmandu,Central Region,AIDs and Abuse Control,"Batabaraniya Hras Tatha Aids
Jagarana Sanstha"
2065,Jhapa,Eastern Region,AIDs and Abuse Control,"Damak Punarsthapan Aids
Piditharuko Samuha"
2055,Kathmandu,Central Region,AIDs and Abuse Control,"Dhuamarpan Madhyapan Tatha
Lagu Padarth Birudha Rastriya Ab"
2065,Kathmandu,Central Region,AIDs and Abuse Control,"Dibya Jyoti Lagu Padartha
Roktham Upachar Tatha
Punarsthapan Kendra"
2060,Kathmandu,Central Region,AIDs and Abuse Control,"Dipajyoti HIV Aids Paramarsh
Sewa Samiti"
2054,Banke,"Mid Western
Region",AIDs and Abuse Control,"Drugs Addition Treatment And
Rehabilitation"
2063,Rupandehi,Western Region,AIDs and Abuse Control,"Dubryasan Nyunikaran Sahakarita
Abhiyan"
2061,Jhapa,Eastern Region,AIDs and Abuse Control,Dubryashani Sudhar Kendra
2063,Lalitpur,Central Region,AIDs and Abuse Control,Gramin Bikas Sewa Kendra Nepal
2061,Bara,Central Region,AIDs and Abuse Control,"H.I.V / Aids Tatha Lagu Oushadhi
Nyunikarana"
2062,Kathmandu,Central Region,AIDs and Abuse Control,"H.I.V. Aids Sarokar Tatha
Anusandhan Kendra Nepal"
2064,Kathmandu,Central Region,AIDs and Abuse Control,"Hamro Mitrata Lagu Aousadh
Upchar tatha Punarsthapana
Sahayog Kendra"
2061,Kathmandu,Central Region,AIDs and Abuse Control,"Himaliyan Association Youngest
S. T. I. Aids"
2063,Doti,"Far Western
Region",AIDs and Abuse Control,"HIV & Ads Tatha Younajanya Rog
Niwarana Sangh"
2059,Kathmandu,Central Region,AIDs and Abuse Control,"HIV Aids Ra Lagu Oushadhi
Duwryasan Wirudhh Samaj"
2059,Kathmandu,Central Region,AIDs and Abuse Control,"HIV AIDS Ra Lagu Padarth
Birudhh Pawitra Premako Abhi"
2059,Jhapa,Eastern Region,AIDs and Abuse Control,"HIV AIDs Tatha Lagu Oushadh
Niyantrana Sanstha"
2066,Morang,Eastern Region,AIDs and Abuse Control,"HIV Ra Aids Sanga Karyarat
Sansthaharuko Sanjal"
2063,Kailali,"Far Western
Region",AIDs and Abuse Control,"HIV Sankrmitka lagi Vakalat tatha
Sanjal"
2064,Bhaktapur,Central Region,AIDs and Abuse Control,"HIV/ADS birudha Samajik Manch
Nepal"
2053,Kathmandu,Central Region,AIDs and Abuse Control,"Jan Chetana Tatha Aids Rokathak
Kendra"
2060,Morang,Eastern Region,AIDs and Abuse Control,"Krishana Ganga Lagupadarth
Durupayog Niwarana Kendra"
2062,Kathmandu,Central Region,AIDs and Abuse Control,"Kshyyarog Niwarana Tatha H.I.V.
Aids Jan Chetana Kendra"
2065,Kathmandu,Central Region,AIDs and Abuse Control,"Lagu Ausadh Durbyasan Aparadh
Roktham Tatha Niyantran Sangh
Nepal"
2052,Kathmandu,Central Region,AIDs and Abuse Control,"LAGU AUSADHA DURBYASAN
BIRUDHA SAMAJIK JAN CHATANA NEPA"
2061,Kailali,"Far Western
Region",AIDs and Abuse Control,Lagu Oushadh Muktt Samaj Nepal
2052,Kathmandu,Central Region,AIDs and Abuse Control,Lagu Oushadha Nirmul Aviyan
2053,Lalitpur,Central Region,AIDs and Abuse Control,"Lagu Oushadhi Niyantrana Sewa
Kendra"
2064,Surkhet,"Mid Western
Region",AIDs and Abuse Control,"Lagu Padarth Durbyasan Nivaran
Samaj"
2055,Kaski,Western Region,AIDs and Abuse Control,"Lagu Padarth Duwyasan
Niyantrana Kendra"
2062,Kaski,Western Region,AIDs and Abuse Control,"Lagu Padarth Niyantrana Tatha
Samaj Sudhar Ama Samuh"
2054,Dhanusha,Central Region,AIDs and Abuse Control,"Lagu Padarth Tatha Aids
Pratirodhak Samaj"
2055,Kathmandu,Central Region,AIDs and Abuse Control,Lagu Padarth Unmulan Nepal
2049,Kathmandu,Central Region,AIDs and Abuse Control,"Lagu Padartha Birudha Nepal
Patralar Munch"
2052,Kathmandu,Central Region,AIDs and Abuse Control,"LAGU PADARTHA BIRUDHA
RASTIYAN GAIRA SAKARI SASNTHA S.M"
2052,Kathmandu,Central Region,AIDs and Abuse Control,"LAGU PDHARTHA
DHURBYASANI AAROGYA SANG NEPAL"
2062,Kathmandu,Central Region,AIDs and Abuse Control,"Lagupadarth Wirudhh Rsijanashil
Hataharu Nepal"
2065,Myagdi,Western Region,AIDs and Abuse Control,"Lagupadartha Durbyasani Birudha
Saichhik Karyakram"
2056,Kailali,"Far Western
Region",AIDs and Abuse Control,"Madira Tatha Lagu Oushadh
Niyantran  Tatha Upacharatmak
Mahi"
2063,Lalitpur,Central Region,AIDs and Abuse Control,"Mayaa Nepal Lagu Oushadh
Upachar Tatha Purnasthapana
Kendra"
2048,Kathmandu,Central Region,AIDs and Abuse Control,Naibhana-Nepal
2047,Lalitpur,Central Region,AIDs and Abuse Control,Nepal Aids Janchetana Sangh
2059,Banke,"Mid Western
Region",AIDs and Abuse Control,"Nepal Aids Niyantrana Sewa
Samaj"
,Kailali,"Far Western
Region",AIDs and Abuse Control,Nepal Aids Primetion Institute
2049,Kathmandu,Central Region,AIDs and Abuse Control,"Nepal Aids Research And
Establishment Foundatjion"
2047,Kathmandu,Central Region,AIDs and Abuse Control,Nepal Aids Rog Niyantran Sangh
2049,Kathmandu,Central Region,AIDs and Abuse Control,Nepal Aids Roktham Sangh
2048,Kathmandu,Central Region,AIDs and Abuse Control,Nepal Durbyasan Birodhi Samaj
2048,Kathmandu,Central Region,AIDs and Abuse Control,Nepal Lagu Aushadhi Forum
2054,Kathmandu,Central Region,AIDs and Abuse Control,"Nepal Lagu Padartha Durbyashan
Niyantran Sangh"
2045,Lalitpur,Central Region,AIDs and Abuse Control,"Nepal Lagu Padartha Durupayog
Niwaran Sangh"
2050,Banke,"Mid Western
Region",AIDs and Abuse Control,"NEPAL YOUN ROGA TATHA
ANUSANDHAN KENDRA"
2047,Kathmandu,Central Region,AIDs and Abuse Control,"Nepal Yuwa Sancharit Rog Abm
Aids Rog Niwaran Sangh"
2066,Kathmandu,Central Region,AIDs and Abuse Control,"Padhma Lagu Padartha
Durvyasan Sudhar Kendra"
2063,Kathmandu,Central Region,AIDs and Abuse Control,Paribhasha Nepal
2063,Kavre,Central Region,AIDs and Abuse Control,Pariwartan Yuwa Samuh Banepa
2061,Kathmandu,Central Region,AIDs and Abuse Control,"Prajanan Swathya Tatha Aids
Sewa Samaj Nepal"
,Kathmandu,Central Region,AIDs and Abuse Control,Prayas
2061,Lalitpur,Central Region,AIDs and Abuse Control,"Rastriya H.I.V Tatha Aids Sangh
Nepal"
2065,Kathmandu,Central Region,AIDs and Abuse Control,"Rastriya Lagu Ausadh Roktham
Tatha Anusandhan Sanstha Nepal"
2051,Sindhuli,Central Region,AIDs and Abuse Control,"SAMAJIK BIKAS TATHA AIDS
NIYANTRA KARYAKRAM"
2062,Chitawan,Central Region,AIDs and Abuse Control,Samudayik Aids Karyakram Nepal
2052,Lalitpur,Central Region,AIDs and Abuse Control,Sekts
2063,Chitawan,Central Region,AIDs and Abuse Control,Support and Care Plus
2057,Kathmandu,Central Region,AIDs and Abuse Control,"Swasthya Tatha Eds Rokatham
Kendra"
2058,Lalitpur,Central Region,AIDs and Abuse Control,"TB, Tatha AIDs Birudhh
Sangharsha"
,Kathmandu,Central Region,AIDs and Abuse Control,"Watawarana,sanskritik
Sanrakshyana Tatha Aids Sarokar
Kendra"
2057,Kathmandu,Central Region,AIDs and Abuse Control,"Yuwa Eds Tatha Lagu Oushat
Dubryasan Sachetana Samaj
Nepal"
2066,Kathmandu,"Central
Region",Child Welfare,Aasram Bal Griha
2053,Kavre,"Central
Region",Child Welfare,Adarsh Bal Bikas Kendra
2056,Kathmandu,"Central
Region",Child Welfare,"Adiwashi Asahaya Balabalika
Tatha Mahila Utathan Sangh"
2062,Kathmandu,"Central
Region",Child Welfare,"Alains Agnaist Chaild Chaild Lepar
Ko Kathamandou"
2060,Lalitpur,"Central
Region",Child Welfare,"Ama Samuh Shishu Syahar
Kendra"
2055,Nawalparasi,"Western
Region",Child Welfare,Amar Jyoti Bal Ashram
2056,Kathmandu,"Central
Region",Child Welfare,Amar Pragati Bal Club
2062,Bara,"Central
Region",Child Welfare,Amrit Anathashram
2053,Kathmandu,"Central
Region",Child Welfare,Anand Faundation Nepal
,Morang,"Eastern
Region",Child Welfare,"Ananta Bal Ggriha Samaj Sewa
Kendra *"
2065,Makwanpur,"Central
Region",Child Welfare,"Anath Apang Bal Punarsthapana
Kendra"
2059,Kathmandu,"Central
Region",Child Welfare,Anath Asahaya Bal Sudhar Samaj
2066,Sunsari,"Eastern
Region",Child Welfare,"Anath Asahaya Bridhha Sewa
Samaj Nepal"
2063,Sindhupalchok,"Central
Region",Child Welfare,"Anath Asahaya tatha Dund Pidit
Balbalika Saranchhan Kendra
Nepal"
2051,Kathmandu,"Central
Region",Child Welfare,Anath Bal Bachau Samaj
2063,Kathmandu,"Central
Region",Child Welfare,"Anath Bal Balika Byasthapan
Samaj"
2055,Lalitpur,"Central
Region",Child Welfare,Anath Bal Batika Sangh
2061,Jhapa,"Eastern
Region",Child Welfare,Anath Bal Bridhhashram
2064,Lalitpur,"Central
Region",Child Welfare,Anath Bal Kalyan Griha
2064,Kathmandu,"Central
Region",Child Welfare,Anath Bal Kalyan Nepal
2055,Kathmandu,"Central
Region",Child Welfare,Anath Bal Syahar Nepal
2062,Kathmandu,"Central
Region",Child Welfare,Anath Balabalika Kendra
2056,Kathmandu,"Central
Region",Child Welfare,Anath Kalyan  Batika Nepal
2061,Kaski,"Western
Region",Child Welfare,Anath Ra Apangko Lagi Shikshyaa
2062,Lalitpur,"Central
Region",Child Welfare,Anath Sangathan
2058,Kathmandu,"Central
Region",Child Welfare,"Anath Tatha Asahaya Ashram
Kendra"
2052,Kathmandu,"Central
Region",Child Welfare,"Anath Tatha Asahaya Bal
Pratishathan"
2061,Kathmandu,"Central
Region",Child Welfare,"Anath Tatha Pidit Bal Kalyana
Kendra"
2056,Kathmandu,"Central
Region",Child Welfare,"Anath Tatha Sadak Bachha hruko
Sudhar Grah"
2061,Udayapur,"Eastern
Region",Child Welfare,Anath Tatha Samaj Bikas Kendra
2065,Nawalparasi,"Western
Region",Child Welfare,Anath Tharu Bal Ashram
2055,Kathmandu,"Central
Region",Child Welfare,"Anathaharuko Lagi Samagra Bikas
Grih Nepal"
2056,Lalitpur,"Central
Region",Child Welfare,"Anathaharuko Milan Tatha Mayaa
Kendra Nepal"
2062,Lalitpur,"Central
Region",Child Welfare,Aneta Smriti Bal Grih Nepal
2051,Lalitpur,"Central
Region",Child Welfare,Ankur Foundation Nepal
2066,Lalitpur,"Central
Region",Child Welfare,Anmol Bal Bikas Griha
2064,Kaski,"Western
Region",Child Welfare,"Annapurna Aatmanirbhar Anath
Ashram"
2051,Kathmandu,"Central
Region",Child Welfare,"Antrastriya Bal Jiban Ra Maya
Nepal"
2056,Kathmandu,"Central
Region",Child Welfare,"Antrastriya Bal Jiwan Ra Maya
Nepal"
2054,Lalitpur,"Central
Region",Child Welfare,Anugrah Bal Ashram
2065,Chitawan,"Central
Region",Child Welfare,Anugraha Bal Griha
2061,Chitawan,"Central
Region",Child Welfare,"Apang Bachchaharuko Sahayog
Kendra"
2057,Kathmandu,"Central
Region",Child Welfare,"Apang Budhh Tatha Asahaya
Balabalika Sanrakshyana Kendra
Nep"
2063,Kathmandu,"Central
Region",Child Welfare,"Apang Tatha Balabalik
Sanrakshyan Sangh Nepal"
2065,Kathmandu,"Central
Region",Child Welfare,Apostal Bal Griha Nepal
2063,Kathmandu,"Central
Region",Child Welfare,"Aptimistik Children Yuth Hom
Nepal"
2060,Kathmandu,"Central
Region",Child Welfare,"Asadharan Bal Balika
Sanrakshyana Manch Nepal"
2062,Lalitpur,"Central
Region",Child Welfare,"Asahaya Apang Balabalika Utthan
Kendra Nepal"
2055,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Balika Aam Kendra
2051,Kathmandu,"Central
Region",Child Welfare,"ASAHAYA BAL BALIKA KO LAGI
SAHARA SAMUH"
2054,Kathmandu,"Central
Region",Child Welfare,"Asahaya Bal Balika Shikshyaa
Kendra"
2055,Kathmandu,"Central
Region",Child Welfare,"Asahaya Bal Balikako Lagi
Shikshyaa Tatha Sewa Kendra"
2060,Kaski,"Western
Region",Child Welfare,Asahaya Bal Bikas Kamaryakram
2062,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Bikas Kendra Nepal
2059,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Kalyan Samaj
2061,Sunsari,"Eastern
Region",Child Welfare,Asahaya Bal Kalyana Samaj
2054,Kathmandu,"Central
Region",Child Welfare,"Asahaya Bal Mahila Tatha Bridhh
Samaj Sewa Samiti"
2051,Chitawan,"Central
Region",Child Welfare,Asahaya Bal Sahara Nepal
2065,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Sahara Nepal
2064,Bhaktapur,"Central
Region",Child Welfare,"Asahaya Bal Sarokar Kendra
Nepal"
2055,Kaski,"Western
Region",Child Welfare,"Asahaya Bal Shikshyaa Sahayog
Kendra"
2063,Bardiya,"Mid Western
Region",Child Welfare,"Asahaya Bal tatha Bridh Sewa
Kendra"
2057,Kathmandu,"Central
Region",Child Welfare,"Asahaya Bal Tatha Mahila
Sakshyarata Karyakram"
2053,Lalitpur,"Central
Region",Child Welfare,"Asahaya Bal Tatha Wridhh Udhhar
Sangh"
2058,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Upakar Sangh
