District,Zone,Geographical Region,Development Region,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Banke,Bheri,Terai,Mid-Western,बाँके महिला आर्थीक स्वाबलम्बन संस्था,Banke Women Economic Self Reliant Organization,,"Nepalganj-5, Dewaphulbari",,,,,,,
Banke,Bheri,Terai,Mid-Western,सामुदायीक स्वाबलम्बन कार्य सहयोग समूह,Community Self Reliant Work Help Group,,Surkhet Road,,,,,,,
Banke,Bheri,Terai,Mid-Western,नेपाल पर्यावरण तथा शिक्षा जागरण केन्द्र,Nepal Environmrnt and Education Awareness Centre,,"Nepalganj-13, Bhrikutinagar",,,,,,,
Banke,Bheri,Terai,Mid-Western,सामाजीक जागरण अभियान केन्द,Social Awareness Campaign Centre,,Nepalganj-4,,,,,,,
Banke,Bheri,Terai,Mid-Western,महिला उपकार मञ्च,Women Welfare Forum,,Kohalpur-3,540144,,mum_npj@wlink.com.np,,,,
Banke,Bheri,Terai,Mid-Western,नारी कल्याण समाज,Women Welfare Society,,Nepalganj-13,,,,,,,
Banke,Bheri,Terai,Mid-Western,सामुदायीक बिकास मञ्च,Forum of Community Development ,,Nepalganj-13,,,,,,,
Banke,Bheri,Terai,Mid-Western,ग्रामीण आर्थिक सामाजिक उत्थान केन्द्र,Rural Economic Social Improvement Centre,,Nepalganj-16,,,,,,,
Banke,Bheri,Terai,Mid-Western,जन जागरण केन्द्र,People Awareness Centre,,Nepalganj-13,,,,,,,
Banke,Bheri,Terai,Mid-Western,सामाजिक सचेतन सरोकार मञ्च,Social Awareness Concerned Forum,,Karkado-8,081-550869,,sacnpj@ntc.net.np,,9848053385,Netrakala Shahi,"Climate change, Good governance and capacity building"
Banke,Bheri,Terai,Mid-Western,वातावरण तथा वाल अधिकार संरक्षण केन्द्र,Environment and Child Rights Protection Centre,,Nepalganj,,,,,,,
Banke,Bheri,Terai,Mid-Western,बहुमुखी सेवा केन्द्र,Multiple Service Center,,Dhombojhi-1,081-521204,,mscn.banke@gmail.com,,9858020627,Prabhat Kumar Thakuri,Local development
Banke,Bheri,Terai,Mid-Western,वातावरण तथा ग्रामीण विकास केन्द्र ,Environment and Rural Development Center,,"Kohalpur, Banke",9848035211,,enrudec.npj@gmail.com,,9848035211,Dharmalal Rokaya,"Education, right, organization and social mobilization"
Banke,Bheri,Terai,Mid-Western,जनजागृती नेपाल,Jana Jagriti Nepal,,Paraspur-7,81-523632,,,,,,
Banke,Bheri,Terai,Mid-Western,भेरी वातावरणीय विशिष्टता समूह ,Bheri Environmental Excellence Group,,Nepalgunj-16,081-525337,,beegroupnpj@ntc.net.np,,,Dol B. Bhandari,"Education, women right, Income generation, Disaster management etc"
Banke,Bheri,Terai,Mid-Western,महिला उपकार मञ्च केन्द्रिय ,Central Forum of Women Welfare,,Kohalpu3,,,,,,,
Banke,Bheri,Terai,Mid-Western,रारा ग्रामीण पुस्तकालय,Rara Rural Library,,Chisapani-1,,,,,,,
Banke,Bheri,Terai,Mid-Western,महिला जागृती संघ ,Women Awareness Association,,Nepalganj-11,,,,,,,
Banke,Bheri,Terai,Mid-Western,उत्पीडित सामुदायिक बिकास केन्द्र ,Oppressed Community Development Centre,,Rajhena-2,081-540588,,,,,,
